round,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,train_loss,lr,seconds,samples_per_sec,peak_gb
15,0.8157759677393426,0.8095029380912775,0.8157759677393426,0.8230341136078567,0.8099705619261236,0.8157759677393426,0.8157759677393426,0.8026846740457652,0.8157759677393426,0.808846071154882,0.07998266816139221,0.0007860583300610849,702.4,61282,4.11
16,0.8097379667203248,0.808501812845382,0.8097379667203248,0.8204574789088097,0.8094825664367877,0.8097379667203248,0.8097379667203248,0.8019435797394991,0.8097379667203248,0.8034737960707123,0.07825970649719238,0.0007591962841552626,701.7,61341,4.11
17,0.8092404451749191,0.803707000459377,0.8092404451749191,0.8195426236739973,0.8102987748594146,0.8092404451749191,0.8092404451749191,0.8005918645585289,0.8092404451749191,0.8041257680063875,0.07678525149822235,0.0007312691451204177,701.4,61372,4.11
18,0.8048469415016323,0.7995704322232594,0.8048469415016323,0.8163452558826263,0.8102427476096427,0.8048469415016323,0.8048469415016323,0.7979415135291499,0.8048469415016323,0.7990249326959263,0.07542825490236282,0.0007023916715611969,700.6,61440,4.11
19,0.8030661228807594,0.794247785631079,0.8030661228807594,0.8153457210733069,0.8117351463944908,0.8030661228807594,0.8030661228807594,0.7960567282499538,0.8030661228807594,0.7976258624055613,0.07402732223272324,0.0006726825272106538,701.9,61329,4.11
20,0.8062984331974178,0.8016528826709448,0.8062984331974178,0.8179613629107864,0.8109323939310609,0.8062984331974178,0.8062984331974178,0.7999095057143331,0.8062984331974178,0.8006780369001323,0.07283652573823929,0.0006422637933155162,701.4,61366,4.11
21,0.8089567445252883,0.8073454830507796,0.8089567445252883,0.8202778969898613,0.8087776658518646,0.8089567445252883,0.8089567445252883,0.8010949430290955,0.8089567445252883,0.8025425843736406,0.0716000571846962,0.0006112604669781572,700.9,61411,4.11
22,0.8044794223174561,0.7991503300150928,0.8044794223174561,0.8162099481261114,0.8105415395803264,0.8044794223174561,0.8044794223174561,0.7978076204795974,0.8044794223174561,0.7982378687799984,0.07063942402601242,0.0005797999475166897,701.4,61371,4.11
23,0.8051248807885781,0.8003654694458905,0.8051248807885781,0.8160203609738995,0.8078977265118078,0.8051248807885781,0.8051248807885781,0.7976615478820075,0.8051248807885781,0.7994550341885879,0.0695815309882164,0.0005480115129538409,701.6,61357,4.11
24,0.8064653268648718,0.8074608778359875,0.8064653268648718,0.8192278467691492,0.8101193690829669,0.8064653268648718,0.8064653268648718,0.8026075704009725,0.8064653268648718,0.8012839804950538,0.06851125508546829,0.0005160257887858277,701.4,61372,4.11
25,0.8023921363718265,0.7929973913553741,0.8023921363718265,0.8149436864092868,0.8110764467633886,0.8023921363718265,0.8023921363718265,0.7951675189736357,0.8023921363718265,0.7968175300420945,0.0675075352191925,0.0004839742112141724,702.0,61318,4.11
26,0.8001948269839554,0.7951221149910848,0.8001948269839554,0.8128776292029147,0.8069963300849079,0.8001948269839554,0.8001948269839554,0.7925598358435206,0.8001948269839554,0.7922451393986407,0.06661971658468246,0.0004519884870461591,701.3,61379,4.11
27,0.8049183080587619,0.800510936226049,0.8049183080587619,0.8177717476019588,0.8120559492810759,0.8049183080587619,0.8049183080587619,0.7997830549327495,0.8049183080587619,0.8000384806393025,0.06567823886871338,0.0004202000524833105,701.4,61367,4.11
28,0.8042511980149689,0.7987183942565929,0.8042511980149689,0.8161227333259876,0.8119774420380425,0.8042511980149689,0.8042511980149689,0.798588407098912,0.8042511980149689,0.7981528832101406,0.06475253403186798,0.00038873953302184284,702.2,61302,4.11
29,0.8032431453955143,0.8011531771207613,0.8032431453955143,0.8163052186135449,0.811879265859256,0.8032431453955143,0.8032431453955143,0.7996317262088279,0.8032431453955143,0.7977707455020924,0.06406152993440628,0.0003577362066844838,701.5,61357,4.11
30,0.7998786954379207,0.7978229934022545,0.7998786954379207,0.8134421880429433,0.8090828548125941,0.7998786954379207,0.7998786954379207,0.7961234440163455,0.7998786954379207,0.7936999839569746,0.06322183459997177,0.0003273174727893463,701.9,61326,4.11
31,0.8015854526707308,0.7992700744625446,0.8015854526707308,0.8155004970577293,0.8113802559010774,0.8015854526707308,0.8015854526707308,0.7986817392345784,0.8015854526707308,0.7964426884171958,0.06259798258543015,0.0002976083284388031,701.8,61335,4.11
32,0.8008249527963192,0.7965324592069865,0.8008249527963192,0.8127977489482902,0.8081874059615572,0.8008249527963192,0.8008249527963192,0.7944248211630355,0.8008249527963192,0.7935032358593715,0.061740752309560776,0.0002687308548795825,701.8,61339,4.11
33,0.8011658024467764,0.7974005581725123,0.8011658024467764,0.8142190216260898,0.809743952791556,0.8011658024467764,0.8011658024467764,0.796016693281598,0.8011658024467764,0.7944686381193362,0.06102399528026581,0.00024080371584473748,701.4,61368,4.11
34,0.798745379642671,0.7952844445935476,0.798745379642671,0.8125939258624582,0.8103806461281702,0.798745379642671,0.798745379642671,0.7957753967454646,0.798745379642671,0.7925591621874423,0.06040392071008682,0.0002139416699389153,702.5,61275,4.11
35,0.7956907423171996,0.7921194611900491,0.7956907423171996,0.8115324457178911,0.8111746149336991,0.7956907423171996,0.7956907423171996,0.7945497168348441,0.7956907423171996,0.7901781876960617,0.05977575480937958,0.00018825509907063325,702.6,61262,4.11
36,0.7978375933189752,0.7936955352723758,0.7978375933189752,0.8120362953668723,0.8104356856476944,0.7978375933189752,0.7978375933189752,0.794645489737819,0.7978375933189752,0.7913588253274133,0.05928155407309532,0.00016384955486934156,702.4,61284,4.11
37,0.8002822696014801,0.7960267299340558,0.8002822696014801,0.8140430317958943,0.8109489713208282,0.8002822696014801,0.8002822696014801,0.7966973824972092,0.8002822696014801,0.7947794225912946,0.05868440121412277,0.00014082532495113625,701.9,61329,4.11
38,0.7971058073327837,0.7910896992149024,0.7971058073327837,0.8106317915198917,0.8093922444974515,0.7971058073327837,0.7971058073327837,0.7921541755390957,0.7971058073327837,0.7896357649942007,0.05818365514278412,0.0001192770208154328,701.6,61348,4.11
39,0.7966381147780532,0.7907932292280184,0.7966381147780532,0.8102444129193669,0.8097298969849245,0.7966381147780532,0.7966381147780532,0.7925762311222977,0.7966381147780532,0.789529772042385,0.05773001164197922,9.929318906602175e-05,701.5,61358,4.11
40,0.7961523018084267,0.7927278311398045,0.7961523018084267,0.8118057801294001,0.8110008416497098,0.7961523018084267,0.7961523018084267,0.7946865360371336,0.7961523018084267,0.7906698331017801,0.05727151408791542,8.09559475540797e-05,701.7,61341,4.11
41,0.7958440689047827,0.7911461201229217,0.7958440689047827,0.8116750231392552,0.8126323782411655,0.7958440689047827,0.7958440689047827,0.794628314130086,0.7958440689047827,0.7904856306447614,0.056911028921604156,6.43406479383053e-05,701.2,61389,4.11
42,0.7971871168868049,0.7914592447431674,0.7971871168868049,0.8110336118802421,0.8094247387092048,0.7971871168868049,0.7971871168868049,0.7927514544354074,0.7971871168868049,0.7901684199229144,0.05653900280594826,4.9515566048790485e-05,701.9,61329,4.11
43,0.7964361883084667,0.7927236733222496,0.7964361883084667,0.8110833068448728,0.8100097022432721,0.7964361883084667,0.7964361883084667,0.79358062781213,0.7964361883084667,0.7895799879829338,0.056274089962244034,3.654162132698918e-05,700.9,61411,4.11
44,0.7968774901050919,0.7907983049370062,0.7968774901050919,0.810506778894589,0.8099713499031932,0.7968774901050919,0.7968774901050919,0.7924193966327265,0.7968774901050919,0.7895720140559424,0.056034304201602936,2.547212649466568e-05,701.4,61372,4.11
45,0.7950167558082667,0.7905331593085998,0.7950167558082667,0.8099505256713556,0.8096049148335758,0.7950167558082667,0.7950167558082667,0.7921426825162787,0.7950167558082667,0.7880721497941101,0.05582732334733009,1.6352568480485276e-05,701.0,61406,4.11
46,0.7953056602693549,0.7903397112793684,0.7953056602693549,0.8101830459930135,0.8100894283892579,0.7953056602693549,0.7953056602693549,0.7922658981448666,0.7953056602693549,0.7882918226028857,0.055604323744773865,9.22042150446728e-06,702.2,61299,4.11
47,0.7957063537515717,0.7911057285649052,0.7957063537515717,0.8106302343306407,0.8107049936340971,0.7957063537515717,0.7957063537515717,0.7932563991973067,0.7957063537515717,0.7891488567093996,0.05558953434228897,4.104993088376974e-06,700.9,61412,4.11
48,0.7957024508929786,0.7918154166701782,0.7957024508929786,0.8109330132435818,0.8107059715574667,0.7957024508929786,0.7957024508929786,0.7935127929261795,0.7957024508929786,0.7891632632790245,0.055411871522665024,1.0273036248318324e-06,701.8,61334,4.11
49,0.7953410647723058,0.7912536275212014,0.7953410647723058,0.810797745714985,0.8107403694676112,0.7953410647723058,0.7953410647723058,0.7933453312633949,0.7953410647723058,0.7889774561499984,0.05533267557621002,0.0,701.7,61347,4.11
