round,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,train_loss,lr,seconds,skipped_steps,samples_per_sec,peak_gb
12,0.8562406197813786,0.8555258196956748,0.8562406197813786,0.8544456717320829,0.8402962000827247,0.8562406197813786,0.8562406197813786,0.8442973774127653,0.8562406197813786,0.8515109433797803,0.06936405599117279,0.0008591746750488638,329.4,4,130692,5.6
13,0.8615585433899839,0.862579085605729,0.8615585433899839,0.8590160079123501,0.840664045823764,0.8615585433899839,0.8615585433899839,0.847692833172658,0.8615585433899839,0.8560983813249017,0.06798311322927475,0.0008361504451306584,329.6,5,130614,5.6
14,0.8603802517957099,0.8592412242390215,0.8603802517957099,0.8582881787322114,0.8422259409309105,0.8603802517957099,0.8603802517957099,0.8473350368166672,0.8603802517957099,0.8557308237662749,0.06677737087011337,0.0008117449009293668,330.1,3,130400,5.6
15,0.8556619745323609,0.8552993885042668,0.8556619745323609,0.8539221781644716,0.8406796803891838,0.8556619745323609,0.8556619745323609,0.8447417879398871,0.8556619745323609,0.8513068298167334,0.06561220437288284,0.0007860583300610849,330.1,5,130381,5.6
16,0.8575780922511251,0.8536575173449953,0.8575780922511251,0.8543421171967047,0.8403821825379603,0.8575780922511251,0.8575780922511251,0.8434479239121282,0.8575780922511251,0.8522458560384942,0.06459628790616989,0.0007591962841552626,329.5,3,130619,5.6
17,0.846116883366695,0.8427992694643706,0.846116883366695,0.8472999272237228,0.8388987823200184,0.846116883366695,0.846116883366695,0.8375552056533646,0.846116883366695,0.843215272730209,0.0636155754327774,0.0007312691451204177,330.2,5,130367,5.6
18,0.8523402701688814,0.8511933584537283,0.8523402701688814,0.8516281681834096,0.8402686189431315,0.8523402701688814,0.8523402701688814,0.8421644686148739,0.8523402701688814,0.8482001460869925,0.06268492341041565,0.0007023916715611969,330.0,5,130457,5.6
19,0.8522859089241929,0.8475910074537769,0.8522859089241929,0.8511124986997989,0.8401269695880695,0.8522859089241929,0.8522859089241929,0.8395173875561466,0.8522859089241929,0.8473892969956937,0.061804480850696564,0.0006726825272106538,330.1,5,130414,5.6
20,0.8520323160408511,0.8509393464720498,0.8520323160408511,0.8514152376766053,0.839889420443874,0.8520323160408511,0.8520323160408511,0.8421469726465383,0.8520323160408511,0.8483234236340621,0.06102079898118973,0.0006422637933155162,330.2,4,130354,5.6
21,0.8499309054641229,0.8481977812337133,0.8499309054641229,0.8498212166585015,0.8383139446114729,0.8499309054641229,0.8499309054641229,0.8396226298740779,0.8499309054641229,0.8461651924017372,0.0602601058781147,0.0006112604669781572,330.6,3,130208,5.6
22,0.8473260261288948,0.8426612307360203,0.8473260261288948,0.8472786076922544,0.8380980923564432,0.8473260261288948,0.8473260261288948,0.8365144121852746,0.8473260261288948,0.8429854497291133,0.05949046462774277,0.0005797999475166897,330.6,5,130197,5.6
23,0.8496780559824179,0.8474396730437261,0.8496780559824179,0.8494868534212882,0.8407407816138464,0.8496780559824179,0.8496780559824179,0.8407077763492146,0.8496780559824179,0.8461165737951437,0.058777570724487305,0.0005480115129538409,330.0,4,130451,5.6
24,0.8429700642382647,0.8409588848409988,0.8429700642382647,0.8458340332552635,0.8399916858053298,0.8429700642382647,0.8429700642382647,0.8381448555722035,0.8429700642382647,0.8415250519908914,0.058137718588113785,0.0005160257887858277,329.8,5,130509,5.6
25,0.8453522018580767,0.8437671323615886,0.8453522018580767,0.8467735542979561,0.8400353581167626,0.8453522018580767,0.8453522018580767,0.838969413485918,0.8453522018580767,0.8430067442323155,0.0575094111263752,0.0004839742112141724,328.8,4,130904,5.6
