round,rule,n_clients,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,f1_macro_std,f1_macro_min,f1_macro_max
33,clf,100,0.3722219503643737,0.4211567032762001,0.3722219503643737,0.570525444637707,0.4154905247947321,0.3722219503643737,0.3722219503643737,0.3217600206978654,0.3722219503643737,0.3541906176746838,0.054791666289745834,0.17448259618835155,0.4314133122387974
34,proto,100,0.3669140292247908,0.45253913618262714,0.3669140292247908,0.5939641166087827,0.4064384333448705,0.3669140292247908,0.36691402922479094,0.36736865180789124,0.3669140292247908,0.3928607639449197,0.05397040558443385,0.22236385442230033,0.47896412493783636
34,clf,100,0.3687835180051412,0.4227078120339122,0.3687835180051412,0.570825733859761,0.41434786048489836,0.3687835180051412,0.3687835180051412,0.32118184063183447,0.3687835180051412,0.35153805468206983,0.05595375180196112,0.1762341111044981,0.4509940820439084
35,proto,100,0.3644786510382579,0.45134726392880153,0.3644786510382579,0.592051621384592,0.4057718476686557,0.3644786510382579,0.3644786510382579,0.36551034249072556,0.3644786510382579,0.3899442650885428,0.05644846889787819,0.2095406778854496,0.4791292439291358
35,clf,100,0.368110496989084,0.41941022680617,0.368110496989084,0.567877442061051,0.4142181448119059,0.368110496989084,0.368110496989084,0.32071841459008665,0.368110496989084,0.3498149081954173,0.05786184644934577,0.1525628211620294,0.4391222121763638
36,proto,100,0.3623321940393498,0.45406411974633004,0.3623321940393498,0.5950673326636151,0.4029769101729331,0.3623321940393498,0.3623321940393498,0.36278119747445314,0.3623321940393498,0.38792622216303907,0.05557043384823635,0.20716403933725958,0.4716135994787144
36,clf,100,0.3682656467691811,0.42034794149780025,0.3682656467691811,0.5697400650037957,0.4137815293926782,0.3682656467691811,0.3682656467691811,0.3193783725649431,0.3682656467691811,0.3489953314362594,0.05575335086292375,0.16261346707332885,0.4484246461325652
37,proto,100,0.3621112383463663,0.4552849387328606,0.3621112383463663,0.5953544723726751,0.4028844082031393,0.3621112383463663,0.3621112383463663,0.3652395083267453,0.3621112383463663,0.38918698437494875,0.054462891476112725,0.23174455510528436,0.4622651869858111
37,clf,100,0.3703443585061828,0.42111139700785366,0.3703443585061828,0.570767087774848,0.415174894498146,0.3703443585061828,0.3703443585061828,0.32186302961697194,0.3703443585061828,0.3524216066848952,0.05507589359160121,0.17897220975732953,0.4478047459448591
38,proto,100,0.36269034450439874,0.45155997370406914,0.36269034450439874,0.5927527804746954,0.40328889320684363,0.36269034450439874,0.3626903445043987,0.36364321174769687,0.36269034450439874,0.38879238332221455,0.05322657888641972,0.22439801204195517,0.4746944378603414
38,clf,100,0.3735473862323689,0.42278425025921607,0.3735473862323689,0.5698615804924048,0.4179488919690994,0.3735473862323689,0.3735473862323689,0.32466983715839265,0.3735473862323689,0.3548220751529721,0.05565170565798089,0.17453032462743784,0.44524433690813436
39,proto,100,0.3579145641951938,0.4534228956279154,0.3579145641951938,0.5926994381497959,0.4002146430083917,0.3579145641951938,0.3579145641951939,0.36111788698758174,0.3579145641951938,0.3847144048339437,0.053990311070579944,0.19882138860000428,0.4816509636230281
39,clf,100,0.37106589391305517,0.4195833352307028,0.37106589391305517,0.5687517123448265,0.4172000886667461,0.37106589391305517,0.37106589391305517,0.32382945896110277,0.37106589391305517,0.35315133360474393,0.05495509498300054,0.17151485031636812,0.45215201564593577
40,proto,100,0.3578432859170087,0.4531456901987672,0.3578432859170087,0.5929980695622256,0.3985569685673307,0.3578432859170087,0.3578432859170087,0.35976526993046876,0.3578432859170087,0.38488633935988936,0.055131818013052426,0.22579377247784888,0.4867827647884565
40,clf,100,0.3725132067623902,0.42416664483488,0.3725132067623902,0.5717286673218372,0.419155801017463,0.3725132067623902,0.3725132067623902,0.32509482750627816,0.3725132067623902,0.35377755030860564,0.05637009189629484,0.17505348299252516,0.43943543019367676
41,proto,100,0.35598853693261157,0.4485815048424817,0.35598853693261157,0.5905352932386391,0.3960695909982175,0.35598853693261157,0.35598853693261157,0.3572989441636279,0.35598853693261157,0.38323383832504,0.05532656727700723,0.21809539445725395,0.46980887111664293
41,clf,100,0.3721691911502123,0.4225417438686368,0.3721691911502123,0.5692475283081977,0.4174414601148421,0.3721691911502123,0.3721691911502123,0.3246127395439576,0.3721691911502123,0.3541416406564244,0.05511154329756649,0.1864569743765005,0.460918269151796
42,proto,100,0.3545560540166779,0.4487706466482129,0.3545560540166779,0.5907025768868162,0.3957164924781537,0.3545560540166779,0.35455605401667795,0.35662874825997093,0.3545560540166779,0.3809600021947528,0.057874612910201934,0.2021726202609169,0.4911393925573483
42,clf,100,0.37099252574701885,0.4201041395266115,0.37099252574701885,0.5691092349342164,0.4208974444214359,0.37099252574701885,0.37099252574701885,0.3254887460427731,0.37099252574701885,0.35172419848835446,0.05690270807537045,0.17257157608208645,0.4365401897309013
43,proto,100,0.35192694257584767,0.4460651808732966,0.35192694257584767,0.5887092063798874,0.3932470300044892,0.35192694257584767,0.35192694257584767,0.35316138694630106,0.35192694257584767,0.3795446018026907,0.057378105114386034,0.18028693679585847,0.4625318808480299
43,clf,100,0.3694607578254871,0.42050086382380497,0.3694607578254871,0.5688182782863271,0.417871959943729,0.3694607578254871,0.3694607578254871,0.3233713547037218,0.3694607578254871,0.3511836220165441,0.0561032811791485,0.1627530423935481,0.4442968810737605
44,proto,100,0.35232293218420785,0.4441639837527168,0.35232293218420785,0.5891863675865555,0.3930283448710579,0.35232293218420785,0.35232293218420785,0.35270714102977835,0.35232293218420785,0.3791422709594397,0.05401583900648963,0.20829814318919326,0.45341821356717815
44,clf,100,0.37225853594667513,0.4237646448356993,0.37225853594667513,0.571229826450137,0.421570872536744,0.37225853594667513,0.3722585359466752,0.32581595060248014,0.37225853594667513,0.3520744663335574,0.05807234321898373,0.17944186686489516,0.44450090446322327
45,proto,100,0.3507926427026812,0.4430485794948316,0.3507926427026812,0.5875594231565604,0.3892149629328044,0.3507926427026812,0.3507926427026812,0.3511149835939761,0.3507926427026812,0.3783856903138573,0.05638954969250952,0.22053714205056368,0.4837540964626768
45,clf,100,0.3709543316294257,0.42328712947037717,0.3709543316294257,0.5706166305883492,0.4197682713692774,0.3709543316294257,0.3709543316294257,0.3257938954468513,0.3709543316294257,0.3517385477197807,0.05631503398356807,0.18022061937859302,0.45102013344008596
