round,rule,client_id,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted
2,proto,19,0.6698837682248396,0.6266117443994519,0.6698837682248396,0.7001342624282947,0.6636175189874859,0.6698837682248396,0.6698837682248395,0.6311055171589215,0.6698837682248396,0.6703190534743253
2,clf,0,0.6971120611990529,0.7249402282631152,0.6971120611990529,0.7585961508112048,0.6096403738155295,0.6971120611990529,0.6971120611990529,0.5930899955440849,0.6971120611990529,0.6931749599992247
2,clf,1,0.35468128838565965,0.5568576636652214,0.35468128838565965,0.6630899001379114,0.5305561992431841,0.35468128838565965,0.3546812883856597,0.36233743489321923,0.35468128838565965,0.2803555525982263
2,clf,2,0.6196447785374001,0.7233292310806951,0.6196447785374001,0.7220606385112799,0.5455838658262937,0.6196447785374001,0.6196447785374,0.5041298697336901,0.6196447785374001,0.5958244767447574
2,clf,3,0.5594089882647547,0.6198807907962564,0.5594089882647547,0.7011196069750075,0.6345583500119312,0.5594089882647547,0.5594089882647547,0.559129106834489,0.5594089882647547,0.5641889351516842
2,clf,4,0.6430982638505249,0.6358052126224177,0.6430982638505249,0.7222362666041267,0.6459647872523515,0.6430982638505249,0.643098263850525,0.559339595027438,0.6430982638505249,0.6314418175671275
2,clf,5,0.6612642120969474,0.6822629091966881,0.6612642120969474,0.7331137252982537,0.5801653161992935,0.6612642120969474,0.6612642120969474,0.5615927561016091,0.6612642120969474,0.6514071557099155
2,clf,6,0.7633887331720586,0.7341816024699471,0.7633887331720586,0.7627426603983274,0.6840341406989945,0.7633887331720586,0.7633887331720585,0.6862884121355959,0.7633887331720586,0.7523484377396226
2,clf,7,0.6084489640372953,0.6945185326397461,0.6084489640372953,0.7433020060911769,0.5930004773289512,0.6084489640372953,0.6084489640372954,0.5851996131021354,0.6084489640372953,0.6358098953254954
2,clf,8,0.7521703378472371,0.7340112833216248,0.7521703378472371,0.7608998690089877,0.7137734191422576,0.7521703378472371,0.7521703378472371,0.709515201663768,0.7521703378472371,0.7437209526302547
2,clf,9,0.41021274017564535,0.6132355826537068,0.41021274017564535,0.6184129802529983,0.5149080319727883,0.41021274017564535,0.41021274017564535,0.43376858350425207,0.41021274017564535,0.3633569025806095
2,clf,10,0.6583011060980029,0.68697484096174,0.6583011060980029,0.7504228519516651,0.6974326343140074,0.6583011060980029,0.6583011060980029,0.6595746102190796,0.6583011060980029,0.6355138342349922
2,clf,11,0.5291452005572167,0.5803249999412586,0.5291452005572167,0.6474691047135959,0.4822363480180131,0.5291452005572167,0.5291452005572167,0.4386508088066757,0.5291452005572167,0.5186225226377634
2,clf,12,0.36101200379915405,0.5165939709947018,0.36101200379915405,0.4237660038173324,0.3611089324802286,0.36101200379915405,0.3610120037991541,0.2789422792086183,0.36101200379915405,0.3090953774108237
2,clf,13,0.5957876261355112,0.6694895495153061,0.5957876261355112,0.724795413878206,0.5311654207996442,0.5957876261355112,0.5957876261355111,0.5119856145529186,0.5957876261355112,0.5761386370156003
2,clf,14,0.5911390427756089,0.7006843698222034,0.5911390427756089,0.7541966449856873,0.5660774311940855,0.5911390427756089,0.591139042775609,0.5101781636495847,0.5911390427756089,0.5674064003024375
2,clf,15,0.4304414421136841,0.5700672107194742,0.4304414421136841,0.6624003308467138,0.6101341678858803,0.4304414421136841,0.4304414421136841,0.4892367740500291,0.4304414421136841,0.3944834443349906
2,clf,16,0.38661196841323614,0.5088790193972822,0.38661196841323614,0.6282410195523778,0.5536314350623778,0.38661196841323614,0.38661196841323614,0.41871406766802477,0.38661196841323614,0.3300148859501709
2,clf,17,0.6561813892559692,0.7220027429470502,0.6561813892559692,0.753302485465331,0.7060439679285638,0.6561813892559692,0.6561813892559692,0.6651122498923485,0.6561813892559692,0.6269977187525975
2,clf,18,0.5597207523261735,0.5551556776560375,0.5597207523261735,0.6759252898751794,0.5803847423226053,0.5597207523261735,0.5597207523261734,0.45557676636920585,0.5597207523261735,0.5209647920782472
2,clf,19,0.4993064527354997,0.6058213079562709,0.4993064527354997,0.6602279609637778,0.5234743531419914,0.4993064527354997,0.4993064527354997,0.46242242870638517,0.4993064527354997,0.49487662490631246
3,proto,0,0.6417120985735703,0.6852263649925515,0.6417120985735703,0.7594232588764522,0.6543687566822234,0.6417120985735703,0.6417120985735703,0.6299567991892727,0.6417120985735703,0.6662263436326445
3,proto,1,0.5820828311113213,0.661200267348105,0.5820828311113213,0.6652143079558178,0.6384102726080481,0.5820828311113213,0.5820828311113213,0.5862668918455336,0.5820828311113213,0.5683964533397254
3,proto,2,0.6630520930333695,0.6921444372310406,0.6630520930333695,0.7295960727274948,0.6287064000286664,0.6630520930333695,0.6630520930333695,0.6341943984580387,0.6630520930333695,0.682119522388558
3,proto,3,0.6497809799390281,0.6843731443027279,0.6497809799390281,0.7314444203431911,0.6683981946636597,0.6497809799390281,0.649780979939028,0.6571885697411065,0.6497809799390281,0.6743134853854922
3,proto,4,0.6704002465119827,0.677755384686497,0.6704002465119827,0.7430420499088233,0.6868186258275144,0.6704002465119827,0.6704002465119827,0.6621074134914082,0.6704002465119827,0.6901060063870916
3,proto,5,0.6572450111477721,0.6907458882090615,0.6572450111477721,0.7535254915326364,0.6543730171098333,0.6572450111477721,0.6572450111477722,0.6475241273663399,0.6572450111477721,0.6869991597905251
3,proto,6,0.6894022428241531,0.7354900726158475,0.6894022428241531,0.7621888631289395,0.6789176168755452,0.6894022428241531,0.6894022428241531,0.6816055426486752,0.6894022428241531,0.7099059856750632
3,proto,7,0.5904991598167626,0.6956809129333918,0.5904991598167626,0.7552468413227185,0.6452719751740117,0.5904991598167626,0.5904991598167626,0.6281083616402511,0.5904991598167626,0.6256548359363108
3,proto,8,0.6915196365360717,0.7372686504383162,0.6915196365360717,0.7675301035345087,0.7171084736054971,0.6915196365360717,0.6915196365360717,0.706576059453502,0.6915196365360717,0.7091438711799535
3,proto,9,0.6276604137606245,0.6488312657119019,0.6276604137606245,0.7391655480990371,0.6334992869366782,0.6276604137606245,0.6276604137606245,0.6114404873424248,0.6276604137606245,0.6456439596402964
3,proto,10,0.6595919301150424,0.6995945553490818,0.6595919301150424,0.7566317756117205,0.6722936043990473,0.6595919301150424,0.6595919301150424,0.6669218301802959,0.6595919301150424,0.6763213688959939
3,proto,11,0.6271461656783917,0.6535657247864224,0.6271461656783917,0.7266266327910699,0.632165324700994,0.6271461656783917,0.6271461656783917,0.618588947192934,0.6271461656783917,0.658925495742832
3,proto,12,0.5134888833113116,0.5674633067898738,0.5134888833113116,0.6214586083146485,0.5277058481092131,0.5134888833113116,0.5134888833113116,0.5253310469197365,0.5134888833113116,0.5487447597681704
3,proto,13,0.6383160540464141,0.6803936485211619,0.6383160540464141,0.7516337711208455,0.6509605276866037,0.6383160540464141,0.6383160540464141,0.6253435040081604,0.6383160540464141,0.6576238809948902
3,proto,14,0.551293644296999,0.6489997115981807,0.551293644296999,0.7333643121716905,0.6135190876104508,0.551293644296999,0.551293644296999,0.5742874823903334,0.551293644296999,0.5649194189333469
3,proto,15,0.5897486029392428,0.6860608239017276,0.5897486029392428,0.7043614910254757,0.6656264125060194,0.5897486029392428,0.5897486029392428,0.6479037575618165,0.5897486029392428,0.6163610390668292
3,proto,16,0.590772638693888,0.6358794895411107,0.590772638693888,0.6951635025462153,0.6492592739700851,0.590772638693888,0.590772638693888,0.6027308220203643,0.590772638693888,0.5892989055898972
