round,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,train_loss,lr,seconds,skipped_steps,samples_per_sec,peak_gb
27,0.8311806435312024,0.8166187547679586,0.8311806435312024,0.8356883685240507,0.8227141509275436,0.8311806435312024,0.8311806435312024,0.8168464599724607,0.8311806435312024,0.8304638904738705,0.05695659667253494,0.0004202000524833105,586.5,3,73390,5.61
28,0.8288660625351315,0.8016781570774687,0.8288660625351315,0.8289556531092485,0.8182172986476769,0.8288660625351315,0.8288660625351315,0.8060975861205588,0.8288660625351315,0.8253272834073501,0.05585874244570732,0.00038873953302184284,587.6,3,73261,5.61
29,0.819666838980971,0.7873061592060278,0.819666838980971,0.8233667726297867,0.8133656259907844,0.819666838980971,0.819666838980971,0.7953842002988454,0.819666838980971,0.8166988244420237,0.05468803271651268,0.0003577362066844838,588.4,5,73154,5.61
30,0.8132109533168862,0.7831798583130025,0.8132109533168862,0.818096129944397,0.8075053487485564,0.8132109533168862,0.8132109533168862,0.7889774144983226,0.8132109533168862,0.8095908637476505,0.05355658009648323,0.0003273174727893463,590.9,5,72852,5.61
31,0.82313694489619,0.8151661323093462,0.82313694489619,0.8289342007019441,0.8156229682720179,0.82313694489619,0.82313694489619,0.8115601767211659,0.82313694489619,0.8217859599254945,0.05241449922323227,0.0002976083284388031,591.8,4,72731,5.61
32,0.8296588074555379,0.8082045413229499,0.8296588074555379,0.8288354136711612,0.81809085265478,0.8296588074555379,0.8296588074555379,0.8082406006494174,0.8296588074555379,0.824561434615428,0.05124473199248314,0.0002687308548795825,587.5,3,73269,5.61
33,0.82122212813029,0.7897313088256391,0.82122212813029,0.8238552962208778,0.8125510006192465,0.82122212813029,0.82122212813029,0.794513150835598,0.82122212813029,0.817031749868492,0.050045449286699295,0.00024080371584473748,588.5,4,73138,5.61
34,0.8222496021175052,0.8067042116186733,0.8222496021175052,0.8284398221107264,0.8205426816518178,0.8222496021175052,0.8222496021175052,0.8085523019905368,0.8222496021175052,0.8195468381812375,0.048877980560064316,0.0002139416699389153,589.8,4,72978,5.61
35,0.8261446549933406,0.8095762580844152,0.8261446549933406,0.8304046617912451,0.8155859424314487,0.8261446549933406,0.8261446549933406,0.8081436081644493,0.8261446549933406,0.8230968992669729,0.047669827938079834,0.00018825509907063325,589.6,4,73009,5.61
36,0.8175322541062022,0.8027962824485335,0.8175322541062022,0.8236526093135393,0.8160145438645638,0.8175322541062022,0.8175322541062022,0.8042274972376291,0.8175322541062022,0.8151029518275763,0.04641531780362129,0.00016384955486934156,595.6,3,72269,5.61
