round,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,train_loss,lr,seconds,samples_per_sec,peak_gb
12,0.8271935947028173,0.8091667376044165,0.8271935947028173,0.8263871726020751,0.8152998670595146,0.8271935947028173,0.8271935947028173,0.8077813185860374,0.8271935947028173,0.8232804932782378,0.05747884511947632,0.0008591746750488638,781.0,55114,5.61
13,0.820590701365062,0.7980417812098638,0.820590701365062,0.8212698792850103,0.8150285138468734,0.820590701365062,0.820590701365062,0.8026066309376245,0.820590701365062,0.8169189798187383,0.056333839893341064,0.0008361504451306584,780.8,55130,5.61
14,0.8343904659483486,0.8220277401021314,0.8343904659483486,0.8341618439209928,0.8190457801443708,0.8343904659483486,0.8343904659483486,0.8168182698122655,0.8343904659483486,0.8311047562135768,0.05524390935897827,0.0008117449009293668,782.9,54985,5.61
15,0.8221088204325426,0.8071982242052799,0.8221088204325426,0.8245597082457675,0.8150000798393833,0.8221088204325426,0.8221088204325426,0.8059852910797917,0.8221088204325426,0.8190479778653723,0.05425142124295235,0.0007860583300610849,785.1,54831,5.61
16,0.8326369673376269,0.8232893172427239,0.8326369673376269,0.8341437099293193,0.8212955279990545,0.8326369673376269,0.8326369673376269,0.8177728280352232,0.8326369673376269,0.8295626867087784,0.05338180437684059,0.0007591962841552626,781.2,55104,5.61
17,0.8288987722071492,0.8171717251070212,0.8288987722071492,0.8319119959118638,0.8154057404063387,0.8288987722071492,0.8288987722071492,0.811468741693675,0.8288987722071492,0.8264268641169024,0.052495718002319336,0.0007312691451204177,781.8,55056,5.61
18,0.8304864922528722,0.8184374172498952,0.8304864922528722,0.8316226863882333,0.8173805379763299,0.8304864922528722,0.8304864922528722,0.8130652030181388,0.8304864922528722,0.8270986922499124,0.05172839015722275,0.0007023916715611969,780.9,55122,5.61
19,0.8252970842022227,0.8158545559440908,0.8252970842022227,0.8288535386721478,0.8156218846282446,0.8252970842022227,0.8252970842022227,0.8095484593340094,0.8252970842022227,0.8229630097459184,0.05112220719456673,0.0006726825272106538,779.3,55234,5.61
20,0.8269044114661154,0.8120913706960722,0.8269044114661154,0.8290052760741969,0.8158085355382926,0.8269044114661154,0.8269044114661154,0.8086807768992899,0.8269044114661154,0.8233111279450938,0.05067300423979759,0.0006422637933155162,777.6,55359,5.61
21,0.824232718908783,0.814260520873177,0.824232718908783,0.8288813992197048,0.8192020423093813,0.824232718908783,0.824232718908783,0.8114160281461025,0.824232718908783,0.821864118788894,0.050623610615730286,0.0006112604669781572,782.2,55028,5.61
22,0.8222304595253584,0.8036692993808077,0.8222304595253584,0.8253497263059976,0.8040662971555308,0.8222304595253584,0.8222304595253584,0.7983855907611321,0.8222304595253584,0.8182644739675,0.05139812454581261,0.0005797999475166897,779.8,55202,5.61
23,0.8112505102755297,0.7810572254605643,0.8112505102755297,0.8137971654288104,0.8008302695322765,0.8112505102755297,0.8112505102755297,0.7862938497567677,0.8112505102755297,0.8081615077068465,0.0558914951980114,0.0005480115129538409,779.7,55207,5.61
24,0.8228246232835437,0.793453615103175,0.8228246232835437,0.8193839130001139,0.7859028719630422,0.8228246232835437,0.8228246232835437,0.7862254682566863,0.8228246232835437,0.8180077577325637,0.07709866017103195,0.0005160257887858277,777.6,55354,5.61
25,0.2221968020162539,0.01388730012601587,0.2221968020162539,0.04937141882625034,0.0625,0.2221968020162539,0.2221968020162539,0.02272514557901974,0.2221968020162539,0.08079127476819195,nan,0.0004839742112141724,739.7,58191,5.61
26,0.2221968020162539,0.01388730012601587,0.2221968020162539,0.04937141882625034,0.0625,0.2221968020162539,0.2221968020162539,0.02272514557901974,0.2221968020162539,0.08079127476819195,nan,0.0004519884870461591,735.2,58548,5.61
27,0.2221968020162539,0.01388730012601587,0.2221968020162539,0.04937141882625034,0.0625,0.2221968020162539,0.2221968020162539,0.02272514557901974,0.2221968020162539,0.08079127476819195,nan,0.0004202000524833105,731.4,58854,5.61
28,0.2221968020162539,0.01388730012601587,0.2221968020162539,0.04937141882625034,0.0625,0.2221968020162539,0.2221968020162539,0.02272514557901974,0.2221968020162539,0.08079127476819195,nan,0.00038873953302184284,733.3,58700,5.61
29,0.2221968020162539,0.01388730012601587,0.2221968020162539,0.04937141882625034,0.0625,0.2221968020162539,0.2221968020162539,0.02272514557901974,0.2221968020162539,0.08079127476819195,nan,0.0003577362066844838,734.0,58647,5.61
30,0.2221968020162539,0.01388730012601587,0.2221968020162539,0.04937141882625034,0.0625,0.2221968020162539,0.2221968020162539,0.02272514557901974,0.2221968020162539,0.08079127476819195,nan,0.0003273174727893463,733.9,58648,5.61
31,0.2221968020162539,0.01388730012601587,0.2221968020162539,0.04937141882625034,0.0625,0.2221968020162539,0.2221968020162539,0.02272514557901974,0.2221968020162539,0.08079127476819195,nan,0.0002976083284388031,735.3,58538,5.61
32,0.2221968020162539,0.01388730012601587,0.2221968020162539,0.04937141882625034,0.0625,0.2221968020162539,0.2221968020162539,0.02272514557901974,0.2221968020162539,0.08079127476819195,nan,0.0002687308548795825,734.9,58572,5.61
33,0.2221968020162539,0.01388730012601587,0.2221968020162539,0.04937141882625034,0.0625,0.2221968020162539,0.2221968020162539,0.02272514557901974,0.2221968020162539,0.08079127476819195,nan,0.00024080371584473748,733.5,58682,5.61
34,0.2221968020162539,0.01388730012601587,0.2221968020162539,0.04937141882625034,0.0625,0.2221968020162539,0.2221968020162539,0.02272514557901974,0.2221968020162539,0.08079127476819195,nan,0.0002139416699389153,731.9,58811,5.61
35,0.2221968020162539,0.01388730012601587,0.2221968020162539,0.04937141882625034,0.0625,0.2221968020162539,0.2221968020162539,0.02272514557901974,0.2221968020162539,0.08079127476819195,nan,0.00018825509907063325,733.9,58649,5.61
36,0.2221968020162539,0.01388730012601587,0.2221968020162539,0.04937141882625034,0.0625,0.2221968020162539,0.2221968020162539,0.02272514557901974,0.2221968020162539,0.08079127476819195,nan,0.00016384955486934156,734.8,58584,5.61
37,0.2221968020162539,0.01388730012601587,0.2221968020162539,0.04937141882625034,0.0625,0.2221968020162539,0.2221968020162539,0.02272514557901974,0.2221968020162539,0.08079127476819195,nan,0.00014082532495113625,734.7,58586,5.61
38,0.2221968020162539,0.01388730012601587,0.2221968020162539,0.04937141882625034,0.0625,0.2221968020162539,0.2221968020162539,0.02272514557901974,0.2221968020162539,0.08079127476819195,nan,0.0001192770208154328,735.0,58565,5.61
39,0.2221968020162539,0.01388730012601587,0.2221968020162539,0.04937141882625034,0.0625,0.2221968020162539,0.2221968020162539,0.02272514557901974,0.2221968020162539,0.08079127476819195,nan,9.929318906602175e-05,734.1,58635,5.61
40,0.2221968020162539,0.01388730012601587,0.2221968020162539,0.04937141882625034,0.0625,0.2221968020162539,0.2221968020162539,0.02272514557901974,0.2221968020162539,0.08079127476819195,nan,8.09559475540797e-05,734.7,58586,5.61
41,0.2221968020162539,0.01388730012601587,0.2221968020162539,0.04937141882625034,0.0625,0.2221968020162539,0.2221968020162539,0.02272514557901974,0.2221968020162539,0.08079127476819195,nan,6.43406479383053e-05,731.8,58822,5.61
42,0.2221968020162539,0.01388730012601587,0.2221968020162539,0.04937141882625034,0.0625,0.2221968020162539,0.2221968020162539,0.02272514557901974,0.2221968020162539,0.08079127476819195,nan,4.9515566048790485e-05,729.4,59016,5.61
43,0.2221968020162539,0.01388730012601587,0.2221968020162539,0.04937141882625034,0.0625,0.2221968020162539,0.2221968020162539,0.02272514557901974,0.2221968020162539,0.08079127476819195,nan,3.654162132698918e-05,732.2,58787,5.61
44,0.2221968020162539,0.01388730012601587,0.2221968020162539,0.04937141882625034,0.0625,0.2221968020162539,0.2221968020162539,0.02272514557901974,0.2221968020162539,0.08079127476819195,nan,2.547212649466568e-05,731.7,58830,5.61
